mangaid,objra,objdec,z,emline_sflux_cen_oiii_5008,emline_sflux_1re_oiii_5008,emline_sflux_tot_oiii_5008,emline_sflux_cen_nii_6549,emline_sflux_1re_nii_6549,emline_sflux_tot_nii_6549,emline_sflux_cen_sii_6718,emline_sflux_1re_sii_6718,emline_sflux_tot_sii_6718,emline_sflux_cen_sii_6732,emline_sflux_1re_sii_6732,emline_sflux_tot_sii_6732,emline_sflux_cen_oi_6302,emline_sflux_1re_oi_6302,emline_sflux_tot_oi_6302,emline_sflux_cen_ha_6564,emline_sflux_1re_ha_6564,emline_sflux_tot_ha_6564,emline_sflux_cen_hb_4862,emline_sflux_1re_hb_4862,emline_sflux_tot_hb_4862,emline_sflux_cen_hdel_4102,emline_sflux_1re_hdel_4102,emline_sflux_tot_hdel_4102
1-298640,123.26537322998,24.5669937133789,0.0204859,33.49779,238.5389,662.2737,18.426,119.1248,231.5845,36.77258,266.844,569.08,25.4739,187.6632,406.5736,10.69778,66.69681,166.7614,137.7185,1036.369,2358.435,28.34357,232.1718,617.6813,3.77878,46.45775,103.5613
1-298640,123.26537322998,24.5669937133789,0.0204859,33.49758,147.6335,157.3626,18.42584,73.64308,76.55119,36.77252,165.3017,172.9236,25.47382,114.064,119.3534,10.69779,42.30029,44.69431,137.7183,629.8077,660.0505,28.34225,137.9893,146.8152,3.777805,26.65728,28.42107
1-230060,123.702323913574,25.9219360351563,0.020947,186.362,1109.371,1962.843,4.475679,48.09861,88.2546,15.61802,193.0906,484.3312,9.060081,118.4702,257.876,0.691964,19.02124,56.48776,174.9373,1302.818,2661.88,56.64765,430.1024,896.955,15.76702,107.8977,193.3974
1-230060,123.702323913574,25.9219360351563,0.020947,168.2684,450.4336,459.8735,3.987409,13.86601,14.3385,14.25208,50.76698,53.86357,8.212917,31.16736,32.66736,0.6811097,4.17475,4.558246,158.7285,461.5532,476.1129,51.34499,149.6535,154.7223,14.26778,38.60886,39.60839
1-230042,124.105674743652,25.9913482666016,0.0452423,30.64547,198.9737,295.5719,35.18863,203.2023,410.8191,27.18973,173.2267,387.8279,25.46288,141.2415,292.7298,15.4004,54.60081,70.77274,45.61118,382.3033,1432.28,1.598737,32.63624,268.7566,-4.575418,-27.94299,4.707594
1-230042,124.105674743652,25.9913482666016,0.0452423,30.64572,157.2374,159.6887,35.18961,161.4815,165.9166,27.18984,140.8746,145.0977,25.46273,115.5803,118.4812,15.40273,45.60754,45.64939,45.60765,253.5795,274.5422,1.600344,16.71547,21.45208,-4.57794,-20.65359,-19.98813
1-218245,122.384223937988,26.2834148406982,0.0254242,56.82805,244.8272,596.2476,99.59749,389.9076,821.2647,126.1801,538.5637,1227.128,95.8418,383.876,860.024,20.14634,74.46233,160.5878,771.8867,3073.64,6646.261,186.03,738.9827,1629.582,43.31577,175.9957,393.2031
1-218245,122.384223937988,26.2834148406982,0.0254242,56.82821,244.828,568.6632,99.59739,389.9069,797.9459,126.18,538.5634,1183.661,95.8419,383.8762,831.3203,20.14633,74.46227,156.3767,771.8852,3073.637,6453.39,186.0303,738.9899,1576.542,43.31725,176.004,382.7574
1-230050,123.822135925293,25.6970825195313,0.0416673,25.68542,36.87085,81.23943,9.367572,13.74769,38.34991,13.03364,17.29639,40.46508,13.39451,18.71216,39.95324,3.613167,5.294681,24.86028,46.80065,66.39102,163.2471,10.31257,14.87698,34.86464,2.802423,3.393471,6.93287
1-230050,123.822135925293,25.6970825195313,0.0416673,25.68521,36.87058,65.90616,9.36709,13.74719,26.34185,13.03247,17.29503,31.55864,13.39427,18.71193,30.84607,3.613046,5.294549,13.42274,46.80099,66.39066,119.7624,10.3119,14.87607,28.31146,2.800176,3.391435,5.583026
